Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount
5/30/2024,5/30/2024,5/31/2024,QQQ,QQQ 5/30/2024 Call $457.00,STO,1,$0.10,$9.95
5/29/2024,5/29/2024,5/30/2024,QQQ,Option Expiration for QQQ 5/29/2024 Call $461.00,OEXP,1,,
5/29/2024,5/29/2024,5/30/2024,QQQ,QQQ 5/29/2024 Call $461.00,STO,1,$0.08,$7.95
5/28/2024,5/28/2024,5/29/2024,QQQ,Option Expiration for QQQ 5/28/2024 Call $461.00,OEXP,1,,
5/28/2024,5/28/2024,5/29/2024,QQQ,QQQ 5/28/2024 Call $461.00,STO,1,$0.10,$9.95
5/24/2024,5/24/2024,5/28/2024,QQQ,Option Expiration for QQQ 5/24/2024 Call $459.00,OEXP,1,,
5/24/2024,5/24/2024,5/28/2024,QQQ,QQQ 5/24/2024 Call $459.00,STO,1,$0.13,$12.95
5/23/2024,5/23/2024,5/24/2024,QQQ,Option Expiration for QQQ 5/23/2024 Call $463.00,OEXP,1,,
5/23/2024,5/23/2024,5/24/2024,QQQ,QQQ 5/23/2024 Call $463.00,STO,1,$0.11,$10.95
5/22/2024,5/22/2024,5/23/2024,QQQ,Option Expiration for QQQ 5/22/2024 Call $460.00,OEXP,1,,
5/22/2024,5/22/2024,5/23/2024,QQQ,QQQ 5/22/2024 Call $460.00,STO,1,$0.66,$65.95
5/21/2024,5/21/2024,5/22/2024,QQQ,Option Expiration for QQQ 5/21/2024 Call $457.00,OEXP,1,,
5/21/2024,5/21/2024,5/22/2024,QQQ,QQQ 5/21/2024 Call $457.00,STO,1,$0.06,$5.95
5/20/2024,5/20/2024,5/21/2024,QQQ,Option Expiration for QQQ 5/20/2024 Call $457.00,OEXP,1,,
5/20/2024,5/20/2024,5/21/2024,QQQ,QQQ 5/20/2024 Call $457.00,STO,1,$0.09,$8.95
5/17/2024,5/17/2024,5/20/2024,,ACH Withdrawal,ACH,,,($468.17)
5/16/2024,5/16/2024,5/17/2024,QQQ,QQQ 5/16/2024 Put $454.00,OASGN,1,,
5/16/2024,5/16/2024,5/20/2024,QQQ,"Invesco QQQ
CUSIP: 46090E103
1 QQQ Option Assigned",Buy,100,$454.00,"($45,400.00)"
5/16/2024,5/16/2024,5/17/2024,QQQ,QQQ 5/16/2024 Put $454.00,STO,1,$1.01,$100.95
5/16/2024,5/16/2024,5/17/2024,,ACH Deposit,ACH,,,$500.00
5/15/2024,5/15/2024,5/16/2024,QQQ,QQQ 5/15/2024 Call $452.00,OASGN,1,,
5/15/2024,5/15/2024,5/17/2024,QQQ,"Invesco QQQ
CUSIP: 46090E103
1 QQQ Option Assigned",Sell,100,$452.00,"$45,199.61"
5/15/2024,5/15/2024,5/16/2024,QQQ,QQQ 5/15/2024 Call $452.00,STO,1,$0.16,$15.95
5/14/2024,5/14/2024,5/15/2024,QQQ,Option Expiration for QQQ 5/14/2024 Call $447.00,OEXP,1,,
5/14/2024,5/14/2024,5/15/2024,QQQ,QQQ 5/14/2024 Call $447.00,STO,1,$0.09,$8.95
5/13/2024,5/13/2024,5/14/2024,QQQ,Option Expiration for QQQ 5/13/2024 Call $446.00,OEXP,1,,
5/13/2024,5/13/2024,5/14/2024,QQQ,QQQ 5/13/2024 Call $446.00,STO,1,$0.04,$3.95
5/10/2024,5/10/2024,5/13/2024,QQQ,Option Expiration for QQQ 5/10/2024 Call $447.50,OEXP,1,,
5/10/2024,5/10/2024,5/13/2024,QQQ,QQQ 5/10/2024 Call $447.50,STO,1,$0.07,$6.95
5/9/2024,5/9/2024,5/10/2024,QQQ,Option Expiration for QQQ 5/9/2024 Call $444.00,OEXP,1,,
5/9/2024,5/9/2024,5/10/2024,QQQ,QQQ 5/9/2024 Call $444.00,STO,1,$0.07,$6.95
5/8/2024,5/8/2024,5/9/2024,QQQ,Option Expiration for QQQ 5/8/2024 Call $443.00,OEXP,1,,
5/8/2024,5/8/2024,5/9/2024,QQQ,QQQ 5/8/2024 Call $443.00,STO,1,$0.09,$8.95
5/7/2024,5/7/2024,5/8/2024,QQQ,Option Expiration for QQQ 5/7/2024 Call $445.00,OEXP,1,,
5/7/2024,5/7/2024,5/8/2024,QQQ,QQQ 5/7/2024 Call $445.00,STO,1,$0.07,$6.95
5/6/2024,5/6/2024,5/7/2024,QQQ,Option Expiration for QQQ 5/6/2024 Call $440.00,OEXP,1,,
5/6/2024,5/6/2024,5/6/2024,QQQ,Stock Lending,SLIP,,,$0.01
5/6/2024,5/6/2024,5/7/2024,QQQ,QQQ 5/6/2024 Call $440.00,STO,1,$0.09,$8.95
5/3/2024,5/3/2024,5/6/2024,QQQ,Option Expiration for QQQ 5/3/2024 Call $438.00,OEXP,1,,
5/3/2024,5/3/2024,5/6/2024,,ACH Withdrawal,ACH,,,"($8,967.76)"
5/3/2024,5/3/2024,5/6/2024,QQQ,QQQ 5/3/2024 Call $438.00,STO,1,$0.15,$14.95
