"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"7/2/2024","7/2/2024","7/3/2024","QQQ","QQQ 7/2/2024 Call $486.00","STO","1","$0.10","$9.95"
"7/1/2024","7/1/2024","7/2/2024","QQQ","Option Expiration for QQQ 7/1/2024 Call $486.00","OEXP","1","",""
"7/1/2024","7/1/2024","7/2/2024","QQQ","QQQ 7/1/2024 Call $486.00","STO","1","$0.02","$1.95"
"6/28/2024","6/28/2024","6/28/2024","","Interest Payment","INT","","","$0.12"
"6/28/2024","6/28/2024","7/1/2024","QQQ","Option Expiration for QQQ 6/28/2024 Call $488.00","OEXP","1","",""
"6/28/2024","6/28/2024","7/1/2024","","ACH Withdrawal","ACH","","","($18.80)"
"6/28/2024","6/28/2024","7/1/2024","QQQ","QQQ 6/28/2024 Call $488.00","STO","1","$0.07","$6.95"
"6/27/2024","6/27/2024","6/28/2024","QQQ","Option Expiration for QQQ 6/27/2024 Call $487.00","OEXP","1","",""
"6/27/2024","6/27/2024","6/28/2024","QQQ","QQQ 6/27/2024 Call $487.00","STO","1","$0.05","$4.95"
"6/26/2024","6/26/2024","6/27/2024","QQQ","Option Expiration for QQQ 6/26/2024 Call $485.00","OEXP","1","",""
"6/26/2024","6/26/2024","6/27/2024","QQQ","QQQ 6/26/2024 Call $485.00","STO","1","$0.06","$5.95"
"6/25/2024","6/25/2024","6/26/2024","QQQ","Option Expiration for QQQ 6/25/2024 Call $485.00","OEXP","1","",""
"6/25/2024","6/25/2024","6/26/2024","QQQ","QQQ 6/25/2024 Call $485.00","STO","1","$0.01","$0.95"
"6/24/2024","6/24/2024","6/25/2024","QQQ","Option Expiration for QQQ 6/24/2024 Call $485.00","OEXP","1","",""
"6/24/2024","6/24/2024","6/25/2024","","ACH Withdrawal","ACH","","","($79.83)"
"6/24/2024","6/24/2024","6/25/2024","QQQ","QQQ 6/24/2024 Call $485.00","STO","1","$0.02","$1.95"
"6/21/2024","6/21/2024","6/24/2024","QQQ","Option Expiration for QQQ 6/21/2024 Call $485.00","OEXP","1","",""
"6/21/2024","6/21/2024","6/24/2024","QQQ","QQQ 6/21/2024 Call $485.00","STO","1","$0.06","$5.95"
"6/20/2024","6/20/2024","6/21/2024","QQQ","QQQ 6/20/2024 Put $485.00","OASGN","1","",""
"6/20/2024","6/20/2024","6/21/2024","QQQ","Invesco QQQ
CUSIP: 46090E103
1 QQQ Option Assigned","Buy","100","$485.00","($48,500.00)"
"6/20/2024","6/20/2024","6/21/2024","QQQ","QQQ 6/20/2024 Put $485.00","STO","1","$1.09","$108.95"
"6/18/2024","6/18/2024","6/20/2024","QQQ","Option Expiration for QQQ 6/18/2024 Put $484.00","OEXP","1","",""
"6/18/2024","6/18/2024","6/20/2024","QQQ","QQQ 6/18/2024 Put $484.00","STO","1","$0.93","$92.95"
"6/18/2024","6/18/2024","6/20/2024","","ACH Deposit","ACH","","","$511.20"
"6/17/2024","6/17/2024","6/18/2024","QQQ","Option Expiration for QQQ 6/17/2024 Put $478.00","OEXP","1","",""
"6/17/2024","6/17/2024","6/18/2024","QQQ","QQQ 6/17/2024 Put $478.00","STO","1","$0.49","$48.95"
"6/14/2024","6/14/2024","6/17/2024","QQQ","Option Expiration for QQQ 6/14/2024 Put $476.00","OEXP","1","",""
"6/14/2024","6/14/2024","6/17/2024","QQQ","QQQ 6/14/2024 Put $476.00","STO","1","$1.04","$103.95"
"6/13/2024","6/13/2024","6/14/2024","QQQ","Option Expiration for QQQ 6/13/2024 Put $476.00","OEXP","1","",""
"6/13/2024","6/13/2024","6/14/2024","QQQ","QQQ 6/13/2024 Put $476.00","STO","1","$1.05","$104.95"
"6/12/2024","6/12/2024","6/13/2024","QQQ","Option Expiration for QQQ 6/12/2024 Put $476.00","OEXP","1","",""
"6/12/2024","6/12/2024","6/13/2024","QQQ","QQQ 6/12/2024 Put $476.00","STO","1","$2.27","$226.95"
"6/12/2024","6/12/2024","6/13/2024","","ACH Deposit","ACH","","","$652.45"
"6/11/2024","6/11/2024","6/12/2024","QQQ","QQQ 6/11/2024 Call $467.00","OASGN","1","",""
"6/11/2024","6/11/2024","6/12/2024","QQQ","Invesco QQQ
CUSIP: 46090E103
1 QQQ Option Assigned","Sell","100","$467.00","$46,698.68"
"6/11/2024","6/11/2024","6/12/2024","QQQ","QQQ 6/11/2024 Call $467.00","STO","1","$0.17","$16.95"
"6/10/2024","6/10/2024","6/11/2024","QQQ","Option Expiration for QQQ 6/10/2024 Call $467.00","OEXP","1","",""
"6/10/2024","6/10/2024","6/11/2024","QQQ","QQQ 6/10/2024 Call $467.00","STO","1","$0.06","$5.95"
"6/7/2024","6/7/2024","6/10/2024","QQQ","Option Expiration for QQQ 6/7/2024 Call $466.00","OEXP","1","",""
"6/7/2024","6/7/2024","6/10/2024","","ACH Withdrawal","ACH","","","($23.93)"
"6/7/2024","6/7/2024","6/10/2024","QQQ","QQQ 6/7/2024 Call $466.00","STO","1","$0.20","$19.95"
"6/6/2024","6/6/2024","6/7/2024","QQQ","QQQ 6/6/2024 Put $465.00","OASGN","1","",""
"6/6/2024","6/6/2024","6/7/2024","QQQ","Invesco QQQ
CUSIP: 46090E103
1 QQQ Option Assigned","Buy","100","$465.00","($46,500.00)"
"6/6/2024","6/6/2024","6/7/2024","QQQ","QQQ 6/6/2024 Put $465.00","STO","1","$1.61","$160.95"
"6/6/2024","6/6/2024","6/7/2024","","ACH Deposit","ACH","","","$544.33"
"6/5/2024","6/5/2024","6/6/2024","QQQ","QQQ 6/5/2024 Call $458.00","OASGN","1","",""
"6/5/2024","6/5/2024","6/6/2024","QQQ","Invesco QQQ
CUSIP: 46090E103
1 QQQ Option Assigned","Sell","100","$458.00","$45,798.70"
"6/5/2024","6/5/2024","6/6/2024","","ACH Withdrawal","ACH","","","($196.30)"
