Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount
5/6/2024,5/6/2024,5/6/2024,QQQ,Stock Lending,SLIP,,,$0.01
5/1/2024,5/1/2024,5/3/2024,QQQ,"Invesco QQQ
CUSIP: 46090E103
Dividend Reinvestment",Buy,0.059369,$422.44,($25.08)
4/30/2024,4/30/2024,4/30/2024,QQQ,Cash Div: R/D 2024-03-19 P/D 2024-04-30 - 43.743214 shares at 0.57345,CDIV,,,$25.08
4/5/2024,4/5/2024,4/5/2024,QQQ,Stock Lending,SLIP,,,$0.01
3/7/2024,3/7/2024,3/7/2024,QQQ,Stock Lending,SLIP,,,$0.01
2/7/2024,2/7/2024,2/7/2024,QQQ,Stock Lending,SLIP,,,$0.01
1/17/2024,1/17/2024,1/19/2024,QQQ,"Invesco QQQ
CUSIP: 46090E103
Dividend Reinvestment",Buy,0.023295,$404.37,($9.42)
1/16/2024,1/16/2024,1/16/2024,QQQ,Cash Div: R/D 2023-12-28 P/D 2024-01-16 - 43.631601 shares at 0.21584,CDIV,,,$9.42
1/8/2024,1/8/2024,1/8/2024,QQQ,Stock Lending,SLIP,,,$0.01
1/3/2024,1/3/2024,1/5/2024,QQQ,"Invesco QQQ
CUSIP: 46090E103
Dividend Reinvestment",Buy,0.088318,$399.35,($35.27)
1/2/2024,1/2/2024,1/2/2024,QQQ,Cash Div: R/D 2023-12-19 P/D 2023-12-29 - 43.631601 shares at 0.80826,CDIV,,,$35.27
12/7/2023,12/7/2023,12/7/2023,QQQ,Stock Lending,SLIP,,,$0.01
11/6/2023,11/6/2023,11/6/2023,QQQ,Stock Lending,SLIP,,,$0.01
11/1/2023,11/1/2023,11/3/2023,QQQ,"Invesco QQQ
CUSIP: 46090E103
Dividend Reinvestment",Buy,0.065855,$354.26,($23.33)
10/31/2023,10/31/2023,10/31/2023,QQQ,Cash Div: R/D 2023-09-19 P/D 2023-10-31 - 43.565746 shares at 0.53555,CDIV,,,$23.33
10/6/2023,10/6/2023,10/6/2023,QQQ,Stock Lending,SLIP,,,$0.01
9/8/2023,9/8/2023,9/8/2023,QQQ,Stock Lending,SLIP,,,$0.01
8/7/2023,8/7/2023,8/7/2023,QQQ,Stock Lending,SLIP,,,$0.01
8/1/2023,8/1/2023,8/3/2023,QQQ,"Invesco QQQ
CUSIP: 46090E103
order batcher",Buy,0.057423,$381.90,($21.93)
7/31/2023,7/31/2023,7/31/2023,QQQ,Cash Div: R/D 2023-06-21 P/D 2023-07-31 - 43.508323 shares at 0.50395,CDIV,,,$21.93
7/10/2023,7/10/2023,7/10/2023,QQQ,Stock Lending,SLIP,,,$0.01
6/7/2023,6/7/2023,6/7/2023,QQQ,Stock Lending,SLIP,,,$0.01
5/23/2023,5/23/2023,5/25/2023,QQQ,"Invesco QQQ
CUSIP: 46090E103",Buy,0.466791,$336.28,($156.97)
5/23/2023,5/23/2023,5/25/2023,QQQ,"Invesco QQQ
CUSIP: 46090E103",Buy,14.999791,$336.29,"($5,044.28)"
5/23/2023,5/23/2023,5/23/2023,,Interest on Contribution (IRA Match),MTCH,,,$51.49
5/18/2023,5/18/2023,5/18/2023,,Direct Rollover Check Received as of 2023-05-18,DRFRO,,,"$5,149.75"
5/5/2023,5/5/2023,5/5/2023,QQQ,Stock Lending,SLIP,,,$0.01
5/2/2023,5/2/2023,5/4/2023,QQQ,"Invesco QQQ
CUSIP: 46090E103",Buy,0.034117,$322.11,($10.99)
5/2/2023,5/2/2023,5/2/2023,,Interest on Contribution (IRA Match),MTCH,,,$0.10
5/2/2023,5/2/2023,5/2/2023,,"RESIDUAL ACAT IN control_num = 20231210011347, firm_id = 0164, acct_num = 20893232",ACATI,,,$10.89
5/1/2023,5/1/2023,5/3/2023,QQQ,"Invesco QQQ
CUSIP: 46090E103
order batcher",Buy,0.002424,$321.71,($0.78)
4/28/2023,4/28/2023,4/28/2023,QQQ,Cash Div: R/D 2023-03-21 P/D 2023-04-28 - 1.661041 shares at 0.47223,CDIV,,,$0.78
4/24/2023,4/24/2023,4/26/2023,QQQ,"Invesco QQQ
CUSIP: 46090E103",Buy,1.595727,$316.33,($504.78)
4/24/2023,4/24/2023,4/26/2023,QQQ,"Invesco QQQ
CUSIP: 46090E103",Buy,0.000695,$316.33,($0.22)
